Rank,Ministry Name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,10-Year Total
24,Ministry of Commerce and Industry,"4,000","4,500","5,000","5,500","5,500","6,000","6,000","6,500","6,000","6,000","₹ 55,000"
25,Ministry of Social Justice & Emp...,"3,200","3,800","4,200","4,800","5,000","5,500","6,000","6,500","6,000","7,000","₹ 52,000"
26,Ministry of Textiles,"3,800","4,000","4,200","4,500","4,500","5,000","5,000","5,500","6,000","5,500","₹ 48,000"
27,"Ministry of Micro, Small & Medium...","2,500","3,000","3,500","4,000","4,500","5,000","5,500","6,000","5,000","6,000","₹ 45,000"
28,"Ministry of Environment, Forest...","2,200","2,500","2,800","3,000","3,200","3,300","3,500","3,500","3,000","3,000","₹ 32,000"
29,Ministry of Youth Affairs and Sports,"1,800","2,000","2,200","2,500","2,800","3,000","3,200","3,500","3,000","4,000","₹ 28,000"
30,Ministry of Culture,"1,650","1,800","2,000","2,200","2,500","2,800","3,000","3,200","3,350","4,000","₹ 26,500"
31,Ministry of Skill Development...,"1,400","1,600","1,800","2,000","2,200","2,500","2,800","3,200","3,000","3,500","₹ 24,000"
32,Ministry of Minority Affairs,"1,200","1,400","1,600","1,800","2,000","2,200","2,500","2,800","3,000","3,500","₹ 22,000"
33,Ministry of Information & Broad...,"1,550","1,600","1,700","1,800","1,900","2,000","2,100","2,200","2,500","3,150","₹ 20,500"
34,Ministry of Statistics & Prog...,"1,300","1,400","1,500","1,600","1,700","1,800","1,900","2,000","2,300","2,500","₹ 18,000"
35,"Ministry of Fisheries, Animal Hus...",750,900,"1,000","1,200","1,500","1,800","2,000","2,300","2,500","3,550","₹ 17,500"
36,Ministry of Food Processing Indus...,600,800,"1,000","1,200","1,400","1,600","1,800","2,000","2,500","3,100","₹ 16,000"
37,Ministry of Tourism,"1,050","1,100","1,200","1,300","1,400","1,500","1,600","1,800","2,000","2,550","₹ 15,500"
38,Ministry of Civil Aviation,900,"1,000","1,100","1,200","1,300","1,400","1,500","1,600","1,800","2,200","₹ 14,000"
39,Ministry of Development of North...,850,900,"1,000","1,100","1,200","1,300","1,400","1,600","1,950","2,200","₹ 13,500"
40,Ministry of Corporate Affairs,700,800,900,"1,000","1,100","1,200","1,300","1,400","1,600","2,000","₹ 12,000"
41,Ministry of Earth Sciences,650,750,850,950,"1,000","1,100","1,200","1,400","1,600","2,000","₹ 11,500"
42,Ministry of New and Renewable...,600,700,800,900,"1,000","1,100","1,200","1,400","1,600","1,700","₹ 11,000"
43,Ministry of AYUSH,550,650,750,850,950,"1,000","1,100","1,300","1,550","1,800","₹ 10,500"
44,Ministry of Coal,450,550,650,750,850,950,"1,000","1,200","1,300","1,800","₹ 9,500"
45,Ministry of Mines,400,500,600,700,800,900,"1,000","1,200","1,300","1,600","₹ 9,000"
46,Ministry of Heavy Industries,350,450,550,650,750,850,950,"1,100","1,250","1,600","₹ 8,500"
47,"Ministry of Ports, Shipping & Water...",300,400,500,600,700,800,900,"1,100","1,200","1,500","₹ 8,000"
48,Ministry of Steel,250,350,450,550,650,750,850,"1,000","1,100","1,550","₹ 7,500"
49,Ministry of Parliamentary Affairs,200,250,300,350,400,450,500,600,"1,250","1,700","₹ 6,000"
50,"The President, Parliament, UPSC...",150,200,250,300,350,400,450,500,"1,250","1,650","₹ 5,500"
51,Ministry of Cooperation,100,150,200,250,300,350,400,450,"1,200","1,600","₹ 5,000"
52,Ministry of Labour and Employment,100,150,200,250,300,350,400,450,"1,150","1,550","₹ 4,500"
53,Ministry of Planning,50,100,150,200,250,300,350,400,"1,050","1,450","₹ 4,000"
54,Ministry of Panchayati Raj,50,100,150,200,250,300,350,400,"1,000","1,450","₹ 3,500"
